test,M,N,K,dtype,native_us,native_tflops,hipblaslt_us,hipblaslt_tflops,speedup,native_verified,hipblaslt_verified
ai_high_large_k,4096,1024,150000,bf16,23038.6,54.62,19914.73,63.18,0.864407125432969,,
ai_high_medium,1285,2048,3840,bf16,458.177,44.11,352.49,57.34,0.7693315028908042,True,True
ai_high_small,576,576,1280,bf16,79.2346,10.72,26.7,31.81,0.3369739987328768,True,True
ai_low_large_flat,21760,3840,20,bf16,634.249,5.27,607.07,5.51,0.957147744813157,,
ai_low_skinny,16,512,1024,bf16,14.9723,1.12,9.1,1.84,0.6077890504464911,True,True
ai_low_small,32,576,2304,bf16,29.2084,2.91,13.45,6.31,0.4604839703646896,True,True
ai_medium_extreme,16800000,128,134,bf16,17628.6,32.69,25375.04,22.71,1.4394245714350546,,
ai_medium_large,7680,512,304,bf16,45.9282,52.05,50.55,47.29,1.1006309848851032,True,True
ai_medium_small,576,576,165,bf16,15.8401,6.91,9.83,11.14,0.6205768902974098,True,True
ai_very_high_extreme,150000,16384,4096,bf16,456537.0,44.1,310266.7,64.89,0.6796091006862532,,
ai_very_high_large,11520,3840,3840,bf16,4284.11,79.3,4400.67,77.2,1.0272075180142435,,
ai_very_high_medium,3840,3840,2304,bf16,888.712,76.46,926.65,73.33,1.0426887450602669,,
ai_very_high_square,4096,4096,4096,bf16,1828.0,75.19,1815.78,75.69,0.9933150984682714,,
ai_very_low_small_square,576,576,10,bf16,5.81005,1.14,6.87,0.97,1.182433886111135,True,True
ai_very_low_small_wide,576,2304,10,bf16,7.56005,3.51,11.95,2.22,1.5806773764723776,True,True
ai_very_low_tiny,4,384,5,bf16,4.64005,0.0,6.29,0.0,1.3555888406374932,True,True
small_f16,1024,1024,1024,f16,44.6705,48.07,37.29,57.59,0.8347791047783213,True,True
